"emp_no","last_name","first_name","sex","salary"
10005,"Maliniak","Kyoichi","M",78228
10010,"Piveteau","Duangkaew","F",72488
10011,"Sluis","Mary","F",42365
10013,"Terkki","Eberhardt","M",40000
10017,"Bouloucos","Cristinel","F",71380
10035,"Chappelet","Alain","M",41538
10037,"Makrucki","Pradeep","M",40000
10045,"Shanbhogue","Moss","M",41971
10051,"Caine","Hidefumi","M",48817
10058,"McFarlin","Berhard","M",52787
10078,"Mondadori","Danel","F",47280
10085,"Malabarba","Kenroku","M",40000
10096,"Mandell","Jayson","M",61395
10117,"Blokdijk","Kiyotoshi","F",52284
10156,"Fargier","Sumali","M",49879
10167,"Rassart","Duangkaew","M",56990
10177,"Iisaka","Pragnesh","M",48041
10179,"Duclos","Deniz","F",40000
10219,"Kolvik","Genta","M",40000
10223,"Schmiedel","Carrsten","F",62922
10228,"Cesareni","Karoline","F",79474
10244,"Flasterstein","Foong","M",56292
10248,"Tempesti","Frederique","F",58918
10250,"Etalle","Serap","M",50330
10269,"Oxman","Taizo","F",40000
10279,"Jumpertz","Barton","F",40000
10302,"Baer","Faiza","F",58239
10312,"Deyuan","Rasiah","F",56705
10314,"Apsitis","Christfried","M",51939
10320,"Stasinski","Uinam","F",58483
10321,"Ravishankar","Guenter","M",86819
10324,"Rouquie","Bernardo","F",67499
10338,"Ranai","Heon","M",40000
10347,"Kaminger","Pradeep","M",42199
10351,"Strehl","Tadahiko","F",40000
10353,"Hammerschmidt","Phule","M",62656
10362,"dAstous","Shalesh","M",40000
10363,"Muniz","Toshiki","F",40401
10366,"Piazza","Morrie","M",47229
10367,"Gini","Hyuckchul","M",63565
10374,"Rosin","Willard","F",69568
10376,"Bale","Fai","M",42634
10387,"Wrigley","Parto","F",61374
10394,"Meriste","Shawna","M",40000
10410,"Gecsei","Takahito","F",46546
10416,"Keustermans","Uli","M",68993
10428,"Brlek","Cathie","M",40000
10430,"Chenney","Ferdinand","M",40000
10434,"Peltason","Dzung","F",40000
10441,"Perfilyeva","Adel","M",40000
10445,"Kavanagh","Junichi","F",59438
10450,"Harbusch","Khun","M",40000
10455,"Streng","Sverrir","F",98251
10456,"Hardjono","Stepehn","F",57599
10475,"Rodite","Mario","M",51203
10480,"Baba","Make","F",55669
10517,"Speek","Tiina","M",65330
10519,"Alencar","Yonghoan","F",40000
10528,"Lakshmanan","Koichi","F",63813
10529,"Yetto","Ymte","M",47840
10533,"Smailagic","Mohamadou","F",57135
10548,"Gunderson","Ramalingam","M",90631
10564,"Thisen","Jianhao","M",46660
10567,"Journel","Dietrich","M",43717
10581,"Prochazka","Odinaldo","F",46569
10595,"Undy","Giri","M",40000
10612,"Peroz","Gil","M",40000
10614,"Ozeri","Gila","F",40000
10622,"Narlikar","Turgut","M",40000
10625,"Petereit","Leszek","F",59732
10639,"Erol","Pramod","M",46291
10645,"Esposito","Fumiyo","M",40000
10652,"Chachaty","Danai","M",53160
10664,"Peck","Xumin","M",48215
10669,"Iisaka","Yurij","F",40000
10676,"Danley","Valeri","F",58226
10678,"Gide","Chriss","F",60389
10696,"Fendler","Unal","M",68913
10705,"Wynblatt","Hironobu","M",83673
10714,"Sadowsky","Aran","M",48821
10716,"Constantine","Aiman","M",44101
10720,"Kruskal","Odinaldo","M",45832
10723,"Harnett","Eckart","F",40000
10724,"Narlikar","Aluzio","M",42347
10725,"Isard","Garnet","M",79207
10733,"Rodham","Sangeeta","F",48013
10748,"Francisci","Yuchang","F",54532
10749,"Brendel","King","M",60829
10753,"Harbusch","Pradeep","F",59507
10755,"Ressouche","Odysseas","M",40000
10760,"Dratva","Phillip","M",40000
10762,"Himler","Lech","M",52172
10764,"Beetstra","Yunming","F",70720
10766,"Standera","Nathalie","M",40000
10769,"Bouloucos","Vishv","M",70229
10773,"Bahr","Avishai","F",40000
10780,"Staudhammer","Goncalo","M",43654
10783,"Kenevan","Moty","M",40000
10791,"Sgarro","Tadahiko","M",40000
10794,"Berztiss","Teunis","M",43485
10817,"Rullman","Uri","F",54602
10819,"Sooriamurthi","Pascal","M",54631
10824,"Kalsbeek","Kirk","M",48813
10830,"Fiebach","Fen","M",47420
10835,"Kermarrec","Tomoyuki","M",40000
10843,"Smeets","Honesty","M",40000
10847,"Danley","Theirry","M",40000
10854,"Nannarelli","Jagoda","M",40000
10893,"Kropatsch","Danil","M",79803
10914,"Prochazka","Mizuhito","M",55565
10933,"Seghrouchni","Juyoung","F",40000
10941,"Norsworthy","Katsuyuki","M",41721
10947,"Usery","Gor","F",43068
10959,"Vigier","Kerryn","M",76685
10969,"Noriega","Premal","M",40000
10972,"Asser","Fumiko","F",40000
10977,"Murrill","Toong","M",40000
10985,"Furedi","Chiradeep","F",40000
10994,"Aingworth","Divine","M",41471
11005,"Douceur","Byong","F",41901
11006,"Butterworth","Christoper","F",63287
11015,"Riesenhuber","Jeanna","M",57076
11019,"Huttel","Leon","M",69387
11022,"Pintelas","Apostol","F",85058
11048,"Demke","Jaques","M",65697
11051,"Erol","Przemyslawa","F",40000
11052,"Hitomi","Parto","F",40000
11053,"Brobst","Sampalli","M",50489
11057,"Vural","Adly","M",66650
11058,"Cyre","Shigeaki","M",40000
11064,"Vieri","Shawna","F",48411
11065,"Rathonyi","Filipe","M",40000
11070,"Raney","Adib","M",40000
11081,"Boyle","Barry","M",65686
11083,"Ducloy","Shimshon","M",90972
11085,"Thummel","Hailing","M",66437
11091,"Ramsay","Souichi","F",76253
11093,"Kitai","Licheng","F",40000
11098,"Covnot","Arnd","F",40000
11102,"Carrera","Bernardo","M",68721
11105,"McAlpine","Holgard","M",59803
11110,"Birjandi","Valeska","F",43063
11118,"Gelosh","Sailaja","F",44310
11119,"Luga","Ramzi","F",40000
11149,"Imataki","Domenico","M",99680
11150,"Garigliano","Geraldo","F",79045
11164,"Limongiello","Alain","M",62630
11170,"Cannard","Minghong","M",44531
11183,"Serdy","Herbert","M",40000
11184,"Theuretzbacher","Masoud","M",40000
11205,"Ebeling","Tayeb","M",82102
11207,"Gips","Saeed","F",49728
11215,"Sury","Rimon","F",70468
11224,"Mitzlaff","Hugo","F",40000
11237,"Salinas","Brendon","M",102547
11248,"Tsukuda","Uinam","M",67711
11251,"Chinal","Bezalel","M",69432
11261,"Demri","Claudi","F",58175
11263,"Fiebach","Kwangjo","M",48695
11293,"Birge","Naftali","F",63418
11294,"Segond","Tru","F",43768
11318,"Unno","Gopalakrishnan","F",69853
11327,"Krohm","Irena","M",40000
11335,"Plump","Bernd","M",40000
11337,"Brendel","Hercules","F",42659
11343,"Erez","Susanne","M",43306
11345,"Maierhofer","Youngkon","M",61656
11347,"Jonsson","Anneli","M",41524
11349,"Hammerschmidt","Yurii","M",46356
11359,"Jayawardene","Subhrajyoti","F",85969
11365,"Shinomoto","Toshimi","M",56463
11370,"Erie","Marek","M",40000
11371,"Masamoto","Tadahiko","M",46423
11374,"Matzat","Remzi","F",51611
11378,"Katiyar","Masamitsu","F",40000
11379,"Chenoweth","Guiseppe","M",40000
11383,"Herbst","Billur","M",40000
11384,"Veccia","Jaana","F",40000
11406,"Gini","Eberhardt","F",71834
11411,"Giaccio","Shigehito","F",45516
11415,"Anido","Sanjiv","M",40000
11427,"Iisaka","Haldun","F",65177
11439,"Wendorf","Fei","M",69470
11447,"Billawala","Rasiah","M",74396
11454,"Zedlitz","Yolla","M",58237
11455,"Wolniewicz","Jianhui","M",46590
11479,"Pleszkun","Shridhar","M",78157
11495,"Barriga","Shin","M",40220
11496,"Marakhovsky","Toshimo","F",40000
11499,"Chartres","Peternela","F",40000
11507,"Cangellaris","Kristian","M",46183
11508,"Ritcey","Ronnie","F",61373
11510,"Wursthorn","Masamitsu","M",40000
11514,"Iwayama","Georgy","M",40000
11515,"Basawa","Ulf","F",70182
11554,"Taubenfeld","Subhash","M",46065
11557,"Pesch","Candido","F",57561
11558,"Hofting","Sungwon","M",40000
11581,"Rosenbaum","Patricio","F",46950
11588,"Panangaden","Kaijung","M",40000
11592,"Nishimukai","Hilary","M",55959
11598,"Ertl","Sariel","M",48112
11602,"Malabarba","Somnath","M",58575
11605,"Genther","Arno","M",40000
11612,"Baar","Siamak","F",40000
11616,"Brendel","Zhilian","F",41900
11625,"Hemaspaandra","Kokou","F",60333
11633,"Teitelbaum","Kazuyasu","F",40000
11634,"Fraisse","Turgut","M",42068
11635,"Mahnke","Nalini","F",40000
11652,"Beutelspacher","Jeanne","F",58583
11656,"Muniz","Aimee","F",61926
11661,"Moffat","Candida","M",47700
11664,"Brizzi","Oksana","F",70380
11671,"Babu","Pranjal","F",55227
11674,"Gyimothy","Dzung","M",41454
11680,"Iwayama","Aral","M",83768
11693,"Coorg","Hideo","M",70403
11695,"Serra","Gretta","M",46989
11701,"Ermel","Doowon","F",61097
11703,"Chiodo","Xuedong","M",40000
11722,"Sudbeck","Atreyi","F",40000
11734,"Baezner","Ramya","F",49728
11743,"Huttel","Clyde","F",57591
11750,"Dalphin","Mong","F",40000
11753,"Nishimukai","Fayez","F",80308
11756,"Vakili","Abdelwaheb","M",59493
11762,"Greibach","Kerhong","M",52050
11765,"Junet","Zorica","F",40000
11767,"Kusakabe","Ortrud","M",55832
11770,"Jakobus","Arumugam","F",40000
11773,"Lorys","Naftaly","M",40000
11779,"Thombley","Shunichi","M",40000
11788,"Gopalakrishnan","Georgy","M",59292
11790,"Henseler","Huai","F",41777
11794,"Ghandeharizadeh","Atreye","M",40000
11801,"Dayang","Tommaso","M",67265
11805,"Grandbois","Rosine","M",40000
11808,"Rosiles","Morrie","F",51897
11812,"Merey","Taizo","M",47297
11820,"Badache","Danil","M",46244
11827,"Rando","Gretta","M",43015
11839,"Falck","Navid","M",73024
11852,"Yurek","Zhongwei","M",66717
11858,"Baik","Slavian","M",40335
11868,"Demke","Kwee","M",48349
11875,"Sambasivam","Luisa","F",62315
11885,"Velasco","Sandeepan","M",43445
11894,"Validov","Mitchel","M",56198
11897,"Setlzner","Cordelia","M",80049
11899,"Munke","Bodh","M",40864
11900,"Ermel","Tse","M",73147
11916,"Redmiles","Fatemeh","M",66691
11917,"VanScheik","Jiakeng","F",40000
11934,"Deville","Diederik","M",42846
11947,"Lortz","Kiyomitsu","M",54249
11969,"Lorcy","Sibyl","M",91787
11970,"Marrakchi","Toong","M",40000
11972,"Beausoleil","Sibyl","F",52908
11981,"Horswill","LiMin","M",42925
12003,"McFarlan","Luise","M",59540
12014,"Lunt","Apostol","M",55769
12022,"Kaltofen","Herbert","M",63140
12037,"Katzenelson","Arunas","M",47805
12044,"Hemaspaandra","Rance","F",40000
12047,"Ligten","Jordanka","M",52051
12058,"Khamsi","Qunsheng","M",61378
12079,"Suwa","Michaela","F",43632
12080,"Feinberg","Panayotis","M",47946
12089,"Socorro","Bilhanan","M",46288
12094,"Pearson","Weiru","F",44788
12107,"Antonisse","Manibrata","M",54485
12110,"Tempesti","Raimond","F",45382
12124,"Schaaf","Jingling","M",50872
12156,"McFarlin","Gor","M",55022
12164,"Chachaty","Muneo","F",43366
12178,"Chinal","Miyeon","F",73367
12180,"Ruemmler","Heejo","F",40000
12205,"Rossi","Sushant","M",40000
12211,"Lores","Macha","M",40000
12234,"Rosar","Miomir","F",54921
12240,"Gils","Somnath","F",40000
12246,"Rehfuss","Gill","M",40000
12257,"Munawer","Hinrich","F",56495
12258,"Eiter","Kankanahalli","F",40748
12276,"Lenart","Yongmin","M",59844
12279,"Brookman","Renee","M",40000
12291,"Koyama","Masamitsu","F",67506
12294,"Heydon","Arch","M",77586
12298,"Rodham","Tetsurou","M",62015
12313,"Narahari","Tsutomu","F",45777
12315,"Binding","Haldun","M",56609
12323,"Zweizig","Arra","F",40000
12330,"Eugenio","Oguz","F",46984
12345,"Mellouli","Xuedong","F",42222
12347,"Ranze","Remko","M",60248
12348,"Rahimi","Krister","M",70107
12355,"Hutton","Vidar","M",70724
12361,"Strandh","Elliott","F",40883
12363,"Glowinski","Gennady","F",57141
12380,"Farrow","Menkae","F",40000
12381,"Klerer","Amalendu","M",42211
12382,"Zschoche","Charlene","M",66365
12388,"Hebert","Arumugam","F",40000
12394,"Reeken","Stevo","F",40000
12421,"Gulik","Toshimi","M",52691
12423,"Coorg","Gen","F",40099
12424,"Bazelow","Bernt","M",64463
12437,"Cronan","Mohammed","M",40000
12455,"Waeselynck","Goncalo","F",40000
12460,"Gerlach","Jingling","F",79268
12468,"Baezner","Ioana","M",41627
12469,"Khalil","Basant","F",40000
12483,"Gornas","Niranjan","M",40000
12486,"Morrin","Joydip","M",46454
12497,"Penz","Stein","M",81191
12504,"Rosaz","Adly","F",40000
12506,"Rodite","Gay","F",50229
12509,"Krzyzanowski","Rutger","M",40000
12510,"Hellwagner","Rosli","F",40000
12514,"Melter","Tomofumi","M",54241
12520,"Basart","Goetz","M",40000
12528,"Cincotta","Conor","F",40000
12532,"Whitcomb","Tsvetan","F",40000
12540,"Bresenham","Poornachandra","F",40000
12549,"Onuegbe","Krister","M",40000
12570,"Anily","Stafford","F",40000
12573,"Bressoud","Trygve","F",78532
12574,"Gelosh","Mong","M",66284
12575,"Merel","Sadok","M",71204
12604,"Conti","Minghong","M",77262
12605,"Feldmann","Petter","M",73698
12621,"Ginesta","Ingmar","M",40000
12624,"Zykh","Zhongwei","M",63183
12636,"Debuse","Yuuichi","F",40000
12642,"Gips","Suebskul","F",68271
12651,"Bael","Pragnesh","M",75150
12664,"Parveen","Zhonghua","M",40000
12668,"Picht","Mari","F",73509
12678,"Borovoy","Carrsten","M",44529
12685,"Openshaw","Siamak","F",55726
12702,"Rosca","Byong","M",40000
12712,"Chiodo","Alagu","F",40130
12724,"Lammel","Parke","F",59907
12740,"Ferretti","Khalid","F",40000
12744,"Escriba","Woody","M",65284
12746,"Lunn","Heekeun","F",63044
12751,"Facello","Nahum","M",50982
12758,"Pashtan","Hauke","M",51525
12762,"Koblitz","Jaroslava","F",40000
12765,"Esteva","Yishay","M",52069
12775,"Berendt","Mariangiola","F",69805
12779,"Birrer","Miomir","M",40000
12780,"Puppo","Premal","M",50101
12791,"Aamodt","Mokhtar","M",40000
12798,"Beeson","Lillian","F",81145
12799,"Businaro","Tiina","F",42816
12825,"Cannata","Sakthirel","F",40000
12845,"Baar","Florian","M",78888
12846,"Cyne","Krisda","F",63962
12853,"Brobst","Mang","M",47160
12861,"Stroustrup","Premal","M",43169
12865,"Rothe","Katsuyuki","M",64679
12878,"Marsiglia","Fox","M",42552
12881,"Yurek","Huai","M",66390
12926,"Luby","Heekeun","M",68314
12934,"Solares","Adil","F",47274
12950,"Rissanen","Aiman","F",41670
12954,"Walston","Dinkar","M",59117
12955,"England","Eckart","F",94869
12956,"Schusler","Seshu","M",40000
12969,"Angot","Mohan","F",59876
12981,"Merro","Maren","M",40000
12987,"Kading","Youngkon","M",56823
13000,"Chiodo","Adhemar","F",40000
13010,"Bach","Sachin","M",41897
13013,"Baak","Heekeun","F",40000
13030,"Kroll","Yahiko","M",51770
13037,"Schaad","Alagu","M",55957
13038,"Kushner","Susanne","M",40000
13043,"Kobuchi","Keiichiro","M",99378
13070,"Sridhar","Mohammad","M",55500
13071,"Azulay","Vasilii","F",40000
13075,"Morrin","Rosella","M",40000
13090,"Poulakidas","Kwee","F",46271
13120,"Pews","Kerryn","M",65786
13122,"Murtafg","Barry","F",40000
13132,"Delgrande","Jianhua","F",47419
13141,"Holburn","Guther","M",49600
13152,"Falck","Yuguang","M",40314
13156,"Millington","Akeel","M",48285
13159,"Ranst","Jingling","F",54536
13161,"Picci","Manu","M",49733
13175,"Swick","Yucai","M",65572
13176,"Thiria","Pranas","M",77759
13177,"Chandrasekhar","Mack","M",45517
13192,"Flowers","Rosita","M",43986
13193,"Miyakawa","Shimshon","M",40000
13214,"Erez","Maren","F",47746
13222,"Cannane","Pintsang","M",40000
13223,"Rabejac","Koldo","F",80125
13228,"Bonifati","Masali","M",40000
13233,"Chvatal","Alselm","M",49414
13235,"Remmers","Taizo","F",57427
13242,"Ecklund","Kazuhiko","M",40000
13243,"Huxford","Fay","M",67269
13268,"Yurov","Munehiro","M",77259
13269,"Shihab","Danny","M",40000
13272,"Jiang","Arun","F",40000
13279,"Hegner","Aram","M",40000
13280,"Cappelletti","Gunilla","M",40000
13284,"Pews","Cathie","F",45690
13292,"Alpin","Bokyung","F",56321
13316,"Cappelli","Luise","F",44152
13318,"Perng","Morris","F",48940
13336,"Hofman","Vatsa","M",40000
13339,"Koblitz","Mart","M",81645
13340,"Highland","Jinpo","M",50911
13345,"Basart","Hatsukazu","M",81471
13363,"Straney","Temple","M",42226
13371,"Riexinger","Nakhoon","F",40000
13374,"Kalefeld","Atreye","M",40000
13377,"Dulay","Nevin","F",46440
13379,"Engelmann","Kinh","M",52620
13385,"Buchter","Claudi","M",40000
13392,"Beidas","Fumitake","F",69221
13394,"Lorys","Anneke","M",44631
13399,"Gischer","Ute","M",40000
13401,"Pavlopoulou","Przemyslawa","M",79455
13406,"Oberman","Muneo","F",40000
13410,"Rebaine","Tremaine","M",55898
13417,"Condotta","Dipayan","M",53074
13428,"Kalloufi","Sanjai","M",77663
13435,"Businaro","Moto","F",42558
13460,"Gips","Yinghua","M",40000
13482,"Perfilyeva","Vesna","F",40000
13505,"Hambrick","Chandrasekaran","M",46130
13552,"Capobianchi","Ingmar","M",73346
13562,"Cooley","Mary","M",40000
13563,"Pashtan","Valter","M",59762
13564,"Manderick","Jongsuk","F",87914
13565,"Badache","Shuho","M",46910
13568,"Bodoff","Muneo","F",43859
13573,"Escriba","Petter","M",40000
13588,"Dahlbom","Xuejia","F",78887
13591,"Poulakidas","Jinxi","F",40000
13592,"Roccetti","Adam","F",43238
13603,"Rissanen","Paddy","M",45209
13619,"Walston","Fatemeh","M",40000
13637,"Cesareni","Zhigen","M",40000
13645,"Nanard","Tran","F",51192
13653,"Iivonen","Kristen","M",53242
13662,"Zucker","Tianruo","F",66158
13669,"Peng","Hidde","M",70008
13676,"Avouris","Gadiel","M",63332
13692,"Kisuki","Yongdong","F",62495
13695,"Tsukuda","Sakthirel","M",57606
13705,"Coombs","Kwangho","F",40000
13706,"Schmezko","Goo","M",48559
13707,"Krzyzanowski","Parviz","M",55293
13711,"Pusterhofer","Tesuro","F",40000
13715,"Range","Licheng","F",79848
13737,"Fairtlough","Supot","M",49568
13741,"Auyong","Shichao","F",44546
13742,"Muniz","Radoslaw","M",65040
13753,"Hagimont","Dmitri","M",40000
13755,"Heusch","Poornachandra","M",64334
13764,"Usery","Demin","M",61273
13765,"Mitzlaff","Raimond","M",40461
13779,"Ranta","Duri","F",40000
13783,"Negoita","Masaki","M",60276
13784,"Ranst","Surveyors","M",81705
13792,"Sury","Valery","M",59127
13800,"Gammage","Nikolaus","F",40000
13801,"Mayerwieser","Shih","M",64182
13806,"Nitsch","Abdelwaheb","M",46387
13808,"Stentiford","Becky","F",72103
13815,"Plotkin","Guadalupe","M",40000
13817,"Sullins","Mingdong","F",40000
13825,"Pell","Arlette","M",54704
13827,"Castellani","Subbu","M",52285
13858,"Sanella","Subir","M",53425
13871,"Plavsic","Anoosh","F",70333
13875,"Manders","Genta","M",40000
13878,"Eiron","Shigeaki","F",58776
13887,"Heydon","Abdulla","F",62153
13911,"Jansen","Fen","M",64188
13926,"Puppe","Ekawit","M",60367
13927,"Jayawardene","Fayez","F",43551
13931,"Vieri","Sushant","F",61524
13970,"Passafiume","Howell","F",73416
13973,"Reeker","Adel","M",44579
13992,"Kenevan","Ulises","M",81318
14017,"Pavlopoulou","Candido","M",42371
14025,"Takanami","Stevo","F",60898
14038,"Plesums","Tokuyasu","M",62982
14065,"Stanger","Bikash","M",56356
14072,"Marakhovsky","Cordelia","F",40000
14078,"Chimia","Frederique","M",40000
14081,"Fontet","Alain","M",52258
14089,"Anguita","Cordelia","M",49411
14102,"Jording","Feixiong","F",48200
14103,"Uchoa","Samphel","M",41404
14104,"Demian","Sudhanshu","M",40327
14109,"Haldar","Vesna","M",61804
14114,"Demian","Richara","F",51041
14120,"Rabejac","Horward","F",40551
14121,"Barreiro","Arup","M",60578
14122,"Erde","Masato","F",62343
14123,"Thambidurai","Tse","F",40000
14130,"Stroustrup","Yuuichi","F",40000
14151,"Esposito","Mariangiola","F",40000
14154,"Mapelli","Susumu","M",70040
14156,"Kading","Emdad","M",67458
14183,"McFarlan","Jaques","F",56157
14214,"Swen","TRUE","M",49797
14216,"Worfolk","Vitali","F",40000
14226,"Restivo","Chirstian","F",57602
14232,"Bojadziev","Masali","M",50568
14233,"Blokdijk","Zijian","M",40000
14236,"Angiulli","Xuedong","F",40000
14239,"Wallrath","Martijn","M",57965
14249,"Schwaller","Kiyokazu","M",47635
14255,"Tramer","Shigeo","F",51038
14264,"Dulin","Marco","F",63835
14265,"Roison","Jaber","F",41336
14266,"Perry","Bedir","F",40000
14267,"Kemmerer","Alair","M",40000
14281,"Stavenow","Hidekazu","F",47391
14283,"Kowalchuk","Rimli","M",73158
14289,"Gist","Paraskevi","F",60863
14291,"Rodier","Berhard","F",48149
14314,"Fujisaki","Baziley","F",64049
14336,"Passafiume","Rafail","F",62352
14343,"Rotem","Pranav","F",70096
14356,"Zeidenstein","Remko","M",40000
14395,"Brizzi","Berni","M",58898
14401,"Antonakopoulos","Shigeichiro","F",40000
14411,"Validov","Hiroyasu","F",58151
14415,"Brookman","Yuriy","M",40000
14429,"Koblick","Marek","M",48958
14437,"Claffy","Radoslaw","M",43707
14447,"Denos","Prodip","F",40000
